readId,taxonId,minimizKmersHitsTaxon|totMinimizKmers
@36bp,?,?|?
@35bp,?,?|?
@37bp,?,?|?
@31bp,?,?|?
@bares>MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.05,0,46|226
@bares>MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,928,173|220
@bares>MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,930,58|197
@bares>MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,931,117|190
@bares>MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$2pointsRearrangement$NA,0,83|189
@5bp,?,?|?
@bares>MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,932,56|225
@bares>MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.05,933,106|246
@bares>MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,929,25|254
@bares>MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.05,934,102|221
@bares>MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.05,0,26|197
@bares>MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,1,31|184
@bares>MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation$errorrate$0.01,1,85|224
@bares>MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME$errorrate$0.01,938,196|238
@bares>MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,8,19|238
@bares>MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,943,205|233
@bares>MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME$errorrate$0.01,936,196|214
@bares>MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,2,71|258
@bares>MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,4,82|189
@bares>MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,5,63|210
@bares>MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,5,36|236
@bares>MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,948,108|205
@bares>MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,7,139|273
@bares>MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,2,24|202
@bares>MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,2,49|262
@bares>MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,2,60|255
@bares>MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,2,48|199
@bares>MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,953,112|210
@bares>MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,956,149|230
@bares>MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,4,208|231
@bares>MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,957,136|232
@bares>MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,958,25|224
@bares>MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,955,97|237
@randoSequence$randomSequence$NA,?,?|?
@randoSequence$randomSequence$NA,?,?|?
@bares>MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,7,107|206
@bares>MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,961,58|246
@bares>MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,962,42|215
@bares>MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.05,963,95|195
@bares>MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3$errorrate$0.01,2,17|190
@bares>MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME$errorrate$0.05,10,100|201
