taxon_id,taxon_name,genome_coverage,read_depth
0,>MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation;>MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation;>MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation;>MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,269|384,8
1,>MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation;>MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation;>MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,122|194,4
2,>MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_7869|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,107|158,11
3,>MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,37|38,3
4,>MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_59|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,253|312,4
5,>MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,80|113,3
6,>MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_68|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,220|335,3
7,>MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,275|355,5
8,>MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3;>MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,29|44,3
10,>MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_76|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_316|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_327|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME;>MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,345|549,4
